"company";"position";"level";"requirements";"salary1B2BMin";"salary1B2BMax";"salary1UoPMin";"salary1UoPMax";"salary1UZMin";"salary1UZMax";"salary1UoDMin";"salary1UoDMax";"salary2B2BMin";"salary2B2BMax";"salary2UoPMin";"salary2UoPMax";"salary2UZMin";"salary2UZMax";"salary2UoDMin";"salary2UoDMax";"salary3B2BMin";"salary3B2BMax";"salary3UZMin";"salary3UZMax";"url"
"Fireart Studio";"Design";"Mid";"English|Communication skills|Problem solving";6000;12000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/design-consultant-fireart-studio-remote-gcikdyth"
"Ailo Sp Z o.o.";"Backend";"Mid";"PHP|Symfony|Git|REST|PostgreSQL|MySQL";12000;18000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10000;16000;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-php-developer-ailo-ryv2i3ar"
"Apa Publications sp. z o.o.";"Design";"Senior";"Figma|UI|UX|English|Team player";10000;16000;NA;NA;NA;NA;NA;NA;NA;NA;9000;15000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/ux-ui-designer-apa-publications-remote-6vqmveh4"
"Codete";"Inne";"Expert";"Leadership skills|aws";25000;30000;NA;NA;NA;NA;NA;NA;NA;NA;21000;24500;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/lead-software-developer-codete-remote-z7tep1ob"
"proALPHA Group";"Inne";"Mid";"ServiceNow Development|ITOM|Flow designer|Discovery patterns|Service portals|English";15000;25000;NA;NA;NA;NA;NA;NA;NA;NA;10000;18000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/servicenow-developer-proalpha-group-remote-stzrqay4"
"Carnect";"IT Administrator";"Mid";"Team player|Proactivity|English|Shell|Git|Linux|Windows server|TCP/IP";NA;NA;12500;20000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/system-administrator-devops-engineer-carnect-remote-ypxztnae"
"proALPHA Group";"IT Administrator";"Mid";"java|TCP/IP|Windows|Linux|JIRA|Virtualization|English|Windows server|Problem solving|Performance Analysis|Networking|Databases";20000;25000;NA;NA;NA;NA;NA;NA;NA;NA;15000;20000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/cloud-performance-engineer-proalpha-group-remote-nephjvm1"
"SoftServe";"Backend";"Senior";"English|Python|Linux|C++|RUST";20000;26000;NA;NA;NA;NA;NA;NA;NA;NA;18000;23000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/linux-system-software-engineer-softserve-remote-g5cxjht5"
"Apa Publications sp. z o.o.";"Product Management";"Mid";"Product management|Market analytics|UML|Critical thinking";12000;18000;NA;NA;NA;NA;NA;NA;NA;NA;10000;16000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/product-manager-apa-publications-remote-jocp4qfn"
"Codete";"Mobile";"Mid";"ios|oop|cocoa touch|Swift|Objective-C|ci/cd|English";12500;23000;NA;NA;NA;NA;NA;NA;NA;NA;10500;19500;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/mid-senior-ios-developer-codete-remote-lgjcefek"
"From Poland With Dev";"Backend";"Mid";"Spring|Java|ms sql|Hibernate|tomcat|English";21000;30000;NA;NA;NA;NA;NA;NA;NA;NA;19000;28000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/java-spring-developer-swoboda-i-spokoj-from-poland-with-dev-remote-mxlitdsz"
"YND Technologies";"Backend";"Senior";"Java|English|SCRUM|Problem solving|Spring Boot|Elasticsearch|Communication skills|Proactivity";23000;30000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-java-developer-ynd-technologies-remote-vradb5mz"
"YND Technologies";"Frontend";"Senior";"React|JavaScript|CSS|HTML|Redux|Git|English|Communication skills|Proactivity|TypeScript|gulp|webpack";23000;30000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-react-developer-ynd-technologies-remote-8jkxf9lw"
"Sonel S.A.";"Frontend";"Junior";"flutter|Dart|REST|Polish|Team player";6000;10000;NA;NA;NA;NA;NA;NA;NA;NA;5000;8000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-junior-flutter-developer-sonel-hwy2kqmk"
"Elitmind";"Business Intelligence";"Junior";"SQL|PowerBI|Communication skills|Team player|SSIS, SSAS, SSRS|snowflake";8000;13000;NA;NA;NA;NA;NA;NA;NA;NA;6000;10000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-bi-service-specialist-snowflake-elitmind-remote-rtadag0k"
"in4ge sp. z o.o.";"Testing";"Junior";"Selenium|SQL|Polish|Communication skills|English|Team player|Problem solving";8000;10000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-test-automation-engineer-in4ge-remote-ezaewzgj"
"Ragnarson";"Backend";"Junior";"ruby on rails|English|Polish|Git|PostgreSQL";4000;8000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-ruby-developer-ragnarson-remote-on2ythcs"
"ALTEN Polska";"Inne";"Junior";"Polish|English|Data|python";6300;10500;NA;NA;NA;NA;NA;NA;NA;NA;5500;7500;NA;NA;NA;NA;6000;10000;NA;NA;"https://nofluffjobs.com/pl/job/junior-data-analyst-alten-polska-gdansk-jt6isjrk"
"Devire";"Backend";"Junior";".NET|Entity Framework|SQL|English|Polish|Communication skills|Team player|Problem solving|Proactivity|ASP.NET MVC|JavaScript|jQuery|LINQ";6000;9000;NA;NA;NA;NA;NA;NA;NA;NA;6000;9000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-net-developer-devire-warszawa-azfnww9d"
"Devire";"DevOps";"Junior";"Linux|Docker|Git|Communication skills|Team player|Critical thinking|Polish|English|Proactivity|Problem solving|Kubernetes";11760;15120;NA;NA;NA;NA;NA;NA;11200;14400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-remote-devops-engineer-devire-eld3cnnu"
"Consult Red";"Embedded";"Senior";"C++|C|Linux|English";17000;22000;NA;NA;NA;NA;NA;NA;NA;NA;15000;20000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/c-embedded-software-engineer-consult-red-remote-0idyedox"
"Dynatrace";"Product Management";"Senior";"Product management|Problem solving|Leadership skills|Critical thinking|SaaS|Log Monitoring|English";NA;NA;27000;37000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/principal-product-manager-dynatrace-gdansk-gw12w2cv"
"RITS Professional Services";"Fullstack";"Junior";"programming|data warehouse|Communication skills|Team player|Problem solving|Proactivity";10920;16800;NA;NA;NA;NA;NA;NA;10400;16000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-software-developer-rits-professional-services-remote-shrytlve"
"RITS Professional Services";"Project Manager";"Junior";"JIRA|Confluence|microsoft office|English|Communication skills|Project management";NA;NA;3500;3800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-project-management-officer-rits-professional-services-remote-qcwdwwm8"
"Deatrans Sp. z o.o.";"Support";"Junior";"Windows|Team player|Microsoft|Polish|Problem solving|Proactivity|Critical thinking|Communication skills";NA;NA;4100;6100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-it-support-specialist-deatrans-lodz-erh06iqb"
"MX Labs";"AI";"Senior";"Python|PyTorch|NumPy|git|Machine Learning|Problem solving|Critical thinking";16000;22000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-python-deep-learning-engineer-mx-labs-bowvfj35"
"Link Group";"Backend";"Mid";"Java";16800;25000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-java-developer-link-group-ysy4eftb"
"Tango Me";"Sales";"Mid";"Communication skills|Team player|Customer Support|English|Account Management|Proactivity|B2C sales|Building relationships|CRM|Negotiation skills|Client service";6403;10672;NA;NA;NA;NA;NA;NA;NA;NA;6403;10672;NA;NA;NA;NA;6676;11127;NA;NA;"https://nofluffjobs.com/pl/job/vip-account-manager-tango-me-warsaw-70f3jnsg"
"Consult Red";"Backend";"Mid";"c|Linux|Git|Networking|English|Communication skills";16000;21000;NA;NA;NA;NA;NA;NA;NA;NA;14000;19000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/c-engineer-open-to-learn-c-consult-red-remote-ldaq2qfc"
"SoftwareMill";"DevOps";"Senior";"Linux|Docker|AWS|Ansible|Jenkins|Virtualization|English communicative|Polish|Team player|Communication skills|Proactivity|Kubernetes|Continuous Integration";19950;30450;NA;NA;NA;NA;NA;NA;19000;29000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-senior-devops-engineer-softwaremill-209zjult"
"Link Group Sp. z o. o.";"Frontend";"Mid";"React|JavaScript|CSS|HTML|TypeScript|Polish";15000;19000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/mid-react-developer-link-group-warsaw-iqn6svvm"
"SoftwareMill";"Backend";"Senior";"Java|English - communicative|Polish|Team player|Communication skills|Proactivity|Clean and testable code|Software Architecture patterns|Scalability patterns|3+ years of commercial experience";19950;30450;NA;NA;NA;NA;NA;NA;19000;29000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-senior-java-developer-softwaremill-pft5sgii"
"A4BEE Sp. z o.o.";"Backend";"Senior";"Java|Communication skills|Team player|English|Leadership skills|Problem solving|Critical thinking";23000;34000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/java-tech-lead-a4bee-warszawa-u5e1uldp"
"Codete";"Frontend";"Mid";"Ember.js|JavaScript|typescript";12000;15000;NA;NA;NA;NA;NA;NA;NA;NA;10000;12500;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/mid-frontend-engineer-ember-js-codete-remote-l7xxi1a3"
"SoftwareMill";"Backend";"Mid";"Scala|Problem solving|Proactivity|English communicative|Polish|Communication skills";12600;18900;NA;NA;NA;NA;NA;NA;12000;18000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-mid-scala-developer-softwaremill-obyh0ye8"
"Avanade Poland";"Business Analyst";"Senior";"Dynamics365|AX|Business analysis|System analysis|Problem solving|Leadership skills|Proactivity|Polish|English|Communication skills|Critical thinking";30240;36960;NA;NA;NA;NA;NA;NA;28800;35200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-manager-d365-business-analysis-avanade-poland-remote-jn3rcpzy"
"Consult Red";"Embedded";"Senior";"3+ y of experience leading a team of C & C++ developers|Communication skills|Leadership skills|Team player|Critical thinking|Problem solving|Taking on formal line management responsibilities|Experience of handling external clients|Be proficient using technical terminology|Very good English";NA;NA;22000;26000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/software-team-leader-group-lead-consult-red-wroclaw-pcqkrvhu"
"BNY Mellon";"Fullstack";"Senior";"Java|Angular|English";NA;NA;15000;24000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-tech-lead-application-dev-bny-mellon-a6ijbqfw"
"BNY Mellon";"Fullstack";"Mid";"Java|English";NA;NA;13000;24000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-back-end-java-developer-bny-mellon-uoxzjyhh"
"Matrix Global Services";"Fullstack";"Mid";"nodejs|Node|English|React|Critical thinking|Problem solving|SQL|Team player|Proactivity";27544;34431;NA;NA;NA;NA;NA;NA;28045;35056;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-full-stack-developer-matrix-global-services-n0aimlhj"
"Amsterdam Standard Sp. z o.o.";"Testing";"Mid";"English|Communication skills|Problem solving|JIRA|Quality Center|web services|REST|HTTP|Cypress|Playwright|TestRail|XRay|TestFlo|JavaScript|testing";12000;17000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/qa-engineer-amsterdam-standard-remote-ds7lq5yp"
"BNY Mellon";"Fullstack";"Mid";"Java|Angular|English";NA;NA;13000;24000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-fullstack-developer-java-angular-bny-mellon-1oxg7v8n"
"Amsterdam Standard Sp. z o.o.";"DevOps";"Mid";"Python|Linux|Puppet|Shell|Ansible|Git|English";12000;18000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/devops-amsterdam-standard-remote-6wzyv1qt"
"Wunderman Thompson Technology";"Inne";"Mid";"English|C#|ASP.NET MVC|Git|REST API|Microsoft SQL|HTML|CSS|JavaScript";9000;15000;NA;NA;NA;NA;NA;NA;NA;NA;8000;14000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/net-software-engineer-wunderman-thompson-technology-remote-oe4rfpdp"
"Codete";"Frontend";"Senior";"Ember.js|JavaScript|typescript|Communication skills|Leadership skills";20000;22000;NA;NA;NA;NA;NA;NA;NA;NA;16000;18000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-frontend-engineer-ember-js-codete-remote-2klk9zac"
"ERGO Technology & Services";"Big Data";"Mid";"SQL|Python|azure";NA;NA;16000;23000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/etl-engineer-ergo-technology-services-warszawa-ymig7xm8"
"Avanade Poland";"Fullstack";"Mid";"ERP Dynamics 365|AX|Azure|X++|Polish|Problem solving|Team player|Critical thinking|Proactivity|English|Communication skills|Organizational skills";15120;25200;NA;NA;NA;NA;NA;NA;NA;NA;10000;19000;NA;NA;NA;NA;14400;24000;NA;NA;"https://nofluffjobs.com/pl/job/mid-developer-dynamics365-avanade-poland-remote-7w3jutup"
"Mobica Limited";"Embedded";"Mid";"C++|Go|C|Linux|Kubernetes";11300;22300;NA;NA;NA;NA;NA;NA;NA;NA;9000;18000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/software-developer-mobica-limited-remote-z71bomcp"
"AVENGA";"Backend";"Mid";"sql|T-SQL|MS SQL Server|Database|English";22680;24360;NA;NA;NA;NA;NA;NA;NA;NA;17500;18500;NA;NA;NA;NA;21600;23200;NA;NA;"https://nofluffjobs.com/pl/job/sql-developer-avenga-wroclaw-sjp2kvyn"
"Infermedica Sp z.o.o";"Backend";"Senior";"Python|Django|PostgreSQL|Communication skills|Team player|Proactivity|Polish|English|Flask";17000;24000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-python-developer-remote-infermedica-djp8i5ty"
"Codete";"Backend";"Mid";".NET|English";22000;24000;NA;NA;NA;NA;NA;NA;NA;NA;18500;20000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/mid-senior-net-engineer-codete-remote-gns80ghu"
"Devire";"Mobile";"Mid";"React Native|React|TypeScript|English B2+|AWS|Google Cloud Platform";20200;27000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/react-native-developer-fresh-tech-stack-devire-remote-2g5weh2p"
"Mobica Limited";"Testing";"Mid";"Kotlin|Linux|Test automation|Java";11300;20600;NA;NA;NA;NA;NA;NA;NA;NA;9000;16500;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/kotlin-test-automation-engineer-mobica-limited-bydgoszcz-6vzvslwk"
"AVENGA";"Fullstack";"Mid";".NET|Angular|.NET Core|SQL|TypeScript|MS SQL";20160;21840;NA;NA;NA;NA;NA;NA;19200;20800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/fullstack-net-developer-avenga-remote-56gihbte"
"OLSYS Ltd.";"Frontend";"Mid";"JavaScript|Redux|English|React|React.js";NA;NA;8537;17075;NA;NA;NA;NA;NA;NA;8902;17804;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/react-js-developer-olsys-ltd-remote-s9lguujb"
"SmartRecruiters Inc.";"Backend";"Mid";"Java|AWS|English|Spring|Docker|jenkins";NA;NA;17000;23000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/software-engineer-devex-smartrecruiters-remote-ypx42xgc"
"Devire";"Business Analyst";"Mid";"System analysis|SQL|UML|BPMN|Enterprise architect|Business analysis|Communication skills|English";NA;NA;12000;18000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/system-analyst-devire-warsaw-nultlwzb"
"COMP S.A.";"IT Administrator";"Mid";"Windows server|Microsoft SQL|SQL|English|Polish";12900;17800;NA;NA;NA;NA;NA;NA;NA;NA;11000;16300;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/database-it-administrator-comp-warszawa-ruivhfuz"
"Unity Group";"Business Analyst";"Mid";"SQL|UML|BPMN|JIRA|Confluence|Excel|System analysis|English|Polish";10080;20000;NA;NA;NA;NA;NA;NA;NA;NA;8300;16000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/system-analyst-unity-group-remote-k2iev0f7"
"Matrix Global Services";"Backend";"Mid";"Java|Spring|mongo|mysql|NoSQL|kafka|rabbit|oracle|AWS|Linux|Jenkins|Team player";22954;29840;NA;NA;NA;NA;NA;NA;23370;30382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-java-developer-matrix-global-services-hkct4gwe"
"AVENGA";"Inne";"Senior";"JIRA|C++|AWS|Docker|Kubernetes|kafka";25200;28560;NA;NA;NA;NA;NA;NA;24000;27200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/data-model-c-cloud-developer-avenga-remote-8u303pa3"
"gravity9";"Fullstack";"Mid";".NET|JavaScript|English|Communication skills|C#|Entity Framework|React|Angular";25200;33600;NA;NA;NA;NA;NA;NA;24000;32000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/fullstack-net-developer-react-angular-gravity9-remote-gxujxkuj"
"Link Group Sp. z o. o.";"Backend";"Expert";"PL/SQL|sql|Leadership skills|Team player|XQuery|English";26880;30240;NA;NA;NA;NA;NA;NA;25600;28800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/oracle-developer-technical-team-lead-link-group-remote-6ojq6oi6"
"Dynatrace";"Backend";"Senior";"Java|English";NA;NA;23000;37000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/principal-software-engineer-java-dynatrace-gdansk-e7y8qrhq"
"PKO Finat Sp. z o.o.";"Testing";"Mid";"Java|groovy|SQL|git";15120;23520;NA;NA;NA;NA;NA;NA;14400;22400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/tester-automatyczny-wydajnosciowe-pko-finat-warszawa-8q5tpxqj"
"gravity9";"Backend";"Mid";"English|Communication skills|Java|Spring|mongoDB|microservices|cloud";25200;33600;NA;NA;NA;NA;NA;NA;24000;32000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/java-developer-gravity9-remote-1kjzc86o"
"Dynatrace";"Backend";"Mid";"Java|English|Team player";NA;NA;12000;24000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/software-engineer-java-dynatrace-gdansk-64cveuih"
"CTHINGS.CO";"Backend";"Mid";"Python|Git|REST|MongoDB|Flask|Spark|Kafka|Django|Linux|English";12000;16000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/backend-python-developer-cthings-co-remote-lbwbuz6i"
"Divante S.A.";"Backend";"Senior";"PHP|Magento|PHPUnit|Docker|MySQL|Git|RESTful|Redis";16800;23520;NA;NA;NA;NA;NA;NA;NA;NA;13900;19500;NA;NA;NA;NA;16000;22400;NA;NA;"https://nofluffjobs.com/pl/job/remote-senior-magento-2-developer-divante-xtbsb6yy"
"Divante S.A.";"Backend";"Mid";"PHP|Magento|PHPUnit|Docker|MySQL|Git|RESTful";10920;16800;NA;NA;NA;NA;NA;NA;NA;NA;10900;16800;NA;NA;NA;NA;10400;16000;NA;NA;"https://nofluffjobs.com/pl/job/remote-magento-2-developer-divante-2kmmzesm"
"CTHINGS.CO";"Backend";"Senior";"Python|Git|REST|MongoDB|Flask|Spark|Kafka|Django|Linux|English";14000;20000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-backend-python-developer-cthings-co-remote-o6sca2ri"
"Divante";"Frontend";"Senior";"Node|JavaScript|Serverless|unit test|TypeScript|English|Team player";18480;25200;NA;NA;NA;NA;NA;NA;NA;NA;15300;20900;NA;NA;NA;NA;17600;24000;NA;NA;"https://nofluffjobs.com/pl/job/remote-senior-node-js-developer-divante-popbqzhn"
"Devire";"Inne";"Mid";"SAP|English|S/4HANA|SAP FI/CO";NA;NA;18000;25000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/sap-fi-co-consultant-devire-remote-fcltjkhf"
"Divante";"Frontend";"Mid";"Node|JavaScript|unit test|TypeScript|English|Team player";10920;18480;NA;NA;NA;NA;NA;NA;NA;NA;9000;15300;NA;NA;NA;NA;10400;17600;NA;NA;"https://nofluffjobs.com/pl/job/remote-node-js-developer-divante-kmdxosvs"
"7bulls.com sp. z o.o.";"Backend";"Senior";"Java|przynajmniej 4 lata doświadczenia komercyjnego|conajmniej 2 projekty na produkcji|Polish|English";21840;28560;NA;NA;NA;NA;NA;NA;20800;27200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-java-developer-7bulls-com-remote-h272ab5y"
"Link Group";"Embedded";"Mid";"C++|telecommunication|5G|C|Linux|English|Communication skills";15120;21000;NA;NA;NA;NA;NA;NA;14400;20000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/c-embedded-c-developer-link-group-remote-83tgmup2"
"Kontakt.io";"Testing";"Senior";"Selenium|SQL|Python|JavaScript|REST|Jenkins|Docker|English|Leadership skills|Critical thinking|Proactivity|test automation|software testing|firmware testing";20000;26500;NA;NA;NA;NA;NA;NA;NA;NA;16000;22000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-quality-assurance-engineer-python-kontakt-io-krakow-m7bqvxnd"
"DahliaMatic Sp. z o.o.";"Backend";"Mid";"Java|Spring|Angular";11000;16000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11000;16000;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/mid-java-developer-remote-dahliamatic-byadqmas"
"Link Group";"DevOps";"Senior";"AWS|Azure|K8S|CI/CD";28000;34000;NA;NA;NA;NA;NA;NA;NA;NA;25000;30000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/devops-cloud-expert-link-group-remote-uyvilj9v"
"Santander Bank Polska";"Mobile";"Mid";"ios|Swift|Xcode|Clean Architecture|Communication skills|Proactivity|Problem solving";NA;NA;10000;17000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/ios-developer-santander-bank-polska-poznan-ry2qyyp6"
"apreel Sp. z o.o.";"Mobile";"Mid";"android|Kotlin|RxJava|IntelliJ IDEA|Google Play";21840;29400;NA;NA;NA;NA;NA;NA;20800;28000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-senior-android-developer-apreel-ygtkh11x"
"Box Inc.";"Mobile";"Senior";"iOS frameworks|Objective-C|Swift|English|ios";NA;NA;25000;30000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-ios-developer-expert-box-warszawa-7sckk2fl"
"AVENGA";"Backend";"Mid";".NET|microservices|PostrgeSQL|.NET Core|C#";20000;26000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-net-developer-avenga-vafomlm7"
"Harvey Nash Technology";"Backend";"Mid";"Java|Spring|Hibernate|Maven|English";18900;31500;NA;NA;NA;NA;NA;NA;NA;NA;18000;24000;NA;NA;NA;NA;18000;30000;NA;NA;"https://nofluffjobs.com/pl/job/java-engineer-warsaw-remote-harvey-nash-technology-x1nlisog"
"TimeCamp S.A.";"Backend";"Mid";"PHP|MySQL|RabbitMQ|Symfony|Docker|REST|Git|Team player";13000;20000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/php-developer-timecamp-remote-x3fepp5v"
"TimeCamp S.A.";"Frontend";"Mid";"React|JavaScript|HTML|Redux|CSS|TypeScript|Team player";14000;20000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/react-developer-timecamp-remote-2adig0ci"
"Iver Polska Sp. z o.o.";"Fullstack";"Junior";".NET|C#|Angular|English";5880;10080;NA;NA;NA;NA;NA;NA;NA;NA;6000;10000;NA;NA;NA;NA;5600;9600;NA;NA;"https://nofluffjobs.com/pl/job/junior-net-developer-iver-polska-gdansk-i9voxmu8"
