"company";"position";"level";"requirements";"salary1B2BMin";"salary1B2BMax";"salary1UoPMin";"salary1UoPMax";"salary1UZMin";"salary1UZMax";"salary1UoDMin";"salary1UoDMax";"salary2B2BMin";"salary2B2BMax";"salary2UoPMin";"salary2UoPMax";"salary2UZMin";"salary2UZMax";"salary2UoDMin";"salary2UoDMax";"salary3B2BMin";"salary3B2BMax";"salary3UZMin";"salary3UZMax";"url"
"Sonalake";"Big Data";"Mid";"AWS|Spark|SQL|Data Engineering|Problem solving|Apache";19950;27300;NA;NA;NA;NA;NA;NA;NA;NA;14000;20000;NA;NA;NA;NA;19000;26000;NA;NA;"https://nofluffjobs.com/pl/job/remote-data-engineer-sonalake-1tcqasl0"
"Qualent";"Backend";"Senior";"sql|T-SQL|MS SQL|PL/SQL|SSIS|SSRS|DBA|Python|BI|ETL|Problem solving|Proactivity|Critical thinking";13650;17535;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13650;17535;13000;16700;NA;NA;"https://nofluffjobs.com/pl/job/ms-sql-bi-developer-qualent-remote-u8hifsdx"
"Cornerstone";"Backend";"Mid";"Java|Spring|Hibernate|SQL";16800;19320;NA;NA;NA;NA;NA;NA;NA;NA;11500;13500;NA;NA;NA;NA;16000;18400;NA;NA;"https://nofluffjobs.com/pl/job/software-engineer-java-cornerstone-krakow-2v7snnpk"
"Hostaway";"Frontend";"Mid";"JavaScript|React|CSS|HTML|webpack|REST|Redux|Critical thinking|Proactivity|English";NA;NA;12806;21344;NA;NA;NA;NA;NA;NA;13353;22254;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-javascript-developer-hostaway-8qepfr8d"
"10Clouds";"Design";"Mid";"English|Design process|UI|UX|Communication skills|Problem solving|portfolio";10000;15000;NA;NA;NA;NA;NA;NA;NA;NA;8000;12000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/ux-designer-10clouds-remote-oqsfpqam"
"Nordea Bank ABP";"DevOps";"Mid";"java|English|Communication skills|ITIL|Team player";NA;NA;9000;18000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-it-analyst-nordea-bank-abp-gdansk-asluc4mw"
"Devire";"Inne";"Mid";"Intune";NA;NA;8000;13000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/mdm-specialist-devire-remote-f0ghvwkr"
"Euvic";"Fullstack";"Mid";".NET|React|PostreSQL|ElasticSearch|Redux|Docker|English";16800;25200;NA;NA;NA;NA;NA;NA;NA;NA;12200;18700;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/fullstack-developer-net-react-euvic-remote-ekussu4f"
"Hostaway";"Backend";"Mid";"PHP|MySQL|Git|REST|English|Problem solving|Proactivity|Critical thinking|AWS";NA;NA;12806;21344;NA;NA;NA;NA;NA;NA;13353;22254;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-php-engineer-hostaway-remote-a6ghohsy"
"WASKO S.A.";"Business Analyst";"Mid";"Polish|System analysis|JIRA|Enterprise architect";9000;16000;NA;NA;NA;NA;NA;NA;NA;NA;8000;15000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/analityk-wasko-remote-kf1wrgab"
"Michael Page";"IT Administrator";"Junior";"Microsoft|English";9000;10500;NA;NA;NA;NA;NA;NA;NA;NA;8000;12000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-it-infrastructure-spec-admin-michael-page-wroclaw-ezumjynr"
"PKO Finat Sp. z o.o.";"DevOps";"Mid";"Jenkins|Docker|Oracle|Kubernetes";15120;25200;NA;NA;NA;NA;NA;NA;14400;24000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/devops-engineer-pko-finat-warszawa-jvw6tsc0"
"PKO Finat Sp. z o.o.";"DevOps";"Mid";"java|Linux|Git|Terraform|Azure|AWS|Jenkins";20160;28560;NA;NA;NA;NA;NA;NA;19200;27200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/machine-learning-devops-pko-finat-remote-ktuwuzwm"
"Devire";"Backend";"Senior";".NET|WCF|WebApi|C#|.net core|Rest API";20000;30000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-back-end-developer-devire-remote-h2krminh"
"SIMLAB SP. Z O.O.";"Frontend";"Mid";"Angular|JavaScript|CSS|HTML|TypeScript|REST|RxJS|English|Polish";7000;14000;NA;NA;NA;NA;NA;NA;NA;NA;7000;14000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/frontend-developer-simlab-gliwice-cliycdgm"
"DobryMechanik.pl Sp. z o.o.";"Backend";"Senior";"PHP|Symfony|Docker|REST|Elasticsearch|Communication skills|Unit Testing|SOLID|MariaDB|Nginx|Sentry|Datadog|GitHub";16000;20000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-php-software-developer-dobrymechanik-pl-adl8ptyx"
"Hays Poland";"Backend";"Senior";"Java|Spring|English";33000;40000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/java-architect-hays-poland-remote-paohnnhs"
"Amusys Production Sp. z o.o.";"Backend";"Mid";"Vue.JS or AngularJS|PHP 7|komunikatywna znajomość j.angielskiego|PHP|MySQL|Laravel";12000;20000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-php-backend-developer-amusys-production-xp8pwvdc"
"Devire";"Testing";"Junior";"JavaScript|test automation|testing|html|networking";5000;9000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4000;8000;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-test-engineer-devire-gdansk-2tl3azlu"
